name,datetime,temp,feelslike,dew,humidity,precip,precipprob,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,conditions,icon,stations
new york,2018-01-01T00:00:00,-12.6,-20.8,-19.7,55.55,0,,,0,0.68,31.7,18.2,312,1026.5,4.4,16,,,,,Clear,clear-night,"72505394728,KEWR,KLGA,72502014734,KNYC,72503014732"
new york,2018-01-01T01:00:00,-12.6,-20.9,-19.6,55.97,0,,,0,0.6,33.5,18.6,306,1026.7,0,16,,,,,Clear,clear-night,"72505394728,KEWR,KLGA,72502014734,KNYC,72503014732"
new york,2018-01-01T02:00:00,-12.7,-21.1,-19.7,55.91,0,,,0,0.51,32.5,19.4,302,1026.9,0,16,,,,,Clear,clear-night,"72505394728,KEWR,KLGA,72502014734,KNYC,72503014732"
new york,2018-01-01T03:00:00,-13.2,-21.2,-19.7,58,0,,,0,0.43,31.7,17.3,308,1027.3,0,16,,,,,Clear,clear-night,"72505394728,KEWR,KLGA,72502014734,KNYC,72503014732"
new york,2018-01-01T04:00:00,-13.3,-20.9,-20.2,56.1,0,,,0,0.34,,15.6,306,1027.3,0,16,,,,,Clear,clear-night,"72505394728,KEWR,KLGA,72502014734,KNYC,72503014732"
new york,2018-01-01T05:00:00,-13.3,-21.8,-20.1,56.53,0,,,0,0.26,33.5,19.5,300,1027.9,0,16,,,,,Clear,clear-night,"72505394728,KEWR,KLGA,72502014734,KNYC,72503014732"
new york,2018-01-01T06:00:00,-13.7,-21.3,-20.1,58.67,0,,,0,0.17,,15,316,1027.9,0,16,,,,,Clear,clear-night,"72505394728,KEWR,KLGA,72502014734,KNYC,72503014732"
new york,2018-01-01T07:00:00,-13.8,-22.3,-20.1,59.05,0,,,0,0.09,44.6,18.4,298,1028.2,10.5,16,48,0.2,0,,Clear,clear-night,"D1574,72505394728,KEWR,KLGA,72502014734,KNYC,72503014732"
new york,2018-01-01T08:00:00,-13.6,-21.3,-19.5,61.11,0,,,0,0,31.9,15.5,302,1028.3,4.4,16,17,0.1,0,,Clear,clear-day,"72505394728,KEWR,KLGA,72502014734,F1417,KNYC,72503014732"
new york,2018-01-01T09:00:00,-13,-21.1,-19,60.35,0,,,0,0,46.2,17.8,298,1028.7,10.5,16,115,0.4,1,,Clear,clear-day,"72505394728,KEWR,KLGA,72502014734,F1417,KNYC,72503014732"
new york,2018-01-01T10:00:00,-11.5,-19.6,-18.8,54.47,0,,,0,0,44.8,19.5,316,1029.1,10.5,16,259,0.9,3,,Clear,clear-day,"72505394728,KEWR,KLGA,72502014734,F1417,KNYC,72503014732"
